name,label,price,url,img,description,tracklist
Lee Oskar Self-titled Vinyl LP,Sealed 1976 Release with Hype Label,$28.00,http://www.planetmusic33.com/lee-oskar-self-titled-vinyl-lp-sealed-1976-release-with-hype-label/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13603/images/7629/lee_oskar_self-titled__40842.1465502890.285.365.jpg?c=2,Sealed 1976 debut solo LP from WAR's harmonica man. Has hype label stating this. Small corner cut. See our listings for more titles from Oskar and from former band WAR...,
Asphalt Canyon Suite KENNY BURRELL,1969 Verve Release,$14.00,http://www.planetmusic33.com/asphalt-canyon-suite-kenny-burrell-1969-verve-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13584/images/7604/asphalt_canyon_suite__04590.1464814803.285.365.jpg?c=2,Rare 1969 Verve label release with VG+ vinyl.  Overall clean play with some instances of low level static or popping. No skips. Enjoyable play but not perfect.  Includes original Verve insert sleeve. LP cover is VG with ring-wear and no holes/slices. See our listings for more KB vinyl...,
Recapitulation KENNY BURRELL,Rare White Label Double Vinyl LP,$34.00,http://www.planetmusic33.com/recapitulation-kenny-burrell-rare-white-label-double-vinyl-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13583/images/7602/recaptiulation__48744.1464814212.285.365.jpg?c=2,Rare very clean white label vinyl with VG cover that has some shelf wear and no holes/slices/seam splits. See our listings for more rare KB vinyl...,
PRIMA SHOW IN THE CASBAR Louis Prima w/Gia Maione,1963 Mono Vinyl LP,$26.00,http://www.planetmusic33.com/prima-show-in-the-casbar-louis-prima-w-gia-maione-1963-mono-vinyl-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13504/images/7454/louis_prima_with_gia__47951.1457496564.285.365.jpg?c=2,Clean vinyl with only a few marks that don't affect play. High gloss intact and crystal clear playback. LP cover (as pictured and frame-ready w/minimum shelf wear). See our listings for many other Prima titles...,
DECOY Miles Davis,1984 Columbia Label Release w/Mint Vinyl,$29.95,http://www.planetmusic33.com/decoy-miles-davis-1984-columbia-label-release-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13369/images/7083/decoy_miles_davis__14958.1452214225.285.365.jpg?c=2,Very clean vinyl and frame-ready LP cover (as pictured w/no holes/slices/seam splits and minimal other shelf wear). See our listings for more rare Miles vinyl...,
CHUN-KING Bobby Timmons,Original 1965 Preistige Promo Release w/Clean Vinyl,$54.00,http://www.planetmusic33.com/chun-king-bobby-timmons-original-1965-preistige-promo-release-w-clean-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13361/images/7075/chun_king__11642.1452126205.285.365.jpg?c=2,Rare 1965 Prestige label release (PR 7351) with very clean vinyl and frame-ready LP cover w/no ring wear and no holes/slices. Has Preview Copy stamp on back cover.  Great collectible for the Bobby Timmons fan. See our listings for more jazz clasics...,"Chun-King, Walking Death, O Grand Amour, Gettin' It Togetha', I Could Have Danced All Night, Someone To Watch Over Me"
ILLUMINATIONS Alice Coltrane & Carlos Santana,1974 LP in Shrink w/Mint Vinyl,$49.95,http://www.planetmusic33.com/illuminations-alice-coltrane-carlos-santana-1974-lp-in-shrink-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13333/images/7041/illuminations__24371.1451780087.285.365.jpg?c=2,Rare original 1974 release still in shrink wrap w/mint vinyl. Includes original custom insert sleeve w/no seam splits. LP cover is frame-ready w/no holes/slices/seam splits. See our listings for more rare jazz titles and more Santana LPs....,
"Wind, Sky And Diamonds, Gabor Szabo",1967 Vinyl Release,$48.00,http://www.planetmusic33.com/wind-sky-and-diamonds-gabor-szabo-1967-vinyl-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13221/images/6827/szabo_wind_sky__81659.1444365210.285.365.jpg?c=2,Vinyl looks nearly new and LP gate-fold cover is frame-ready w/nearly no shelf wear aside from a very small hole punch. Includes original Impulse insert sleeve. See our listings for more Szabo titles... ,
COLTRANE John Coltrane,1982 Prestige Label Vinyl Release,$28.00,http://www.planetmusic33.com/coltrane-john-coltrane-1982-prestige-label-vinyl-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13130/images/6702/coltrane_by_john_coltrane__55968.1438934465.285.365.jpg?c=2,Very clean and frame-ready Coltrane cover for this 1982 Prestige label reissue (7105). See our listings for other classic jazz titles...,
I GET CHET Chet Baker w/Bobby Jaspar,Sealed 180gm w/MP3 LP,$28.00,http://www.planetmusic33.com/i-get-chet-chet-baker-w-bobby-jaspar-sealed-180gm-w-mp3-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13055/images/6596/I_get_chet_lp_cover__33309.1434557719.285.365.jpg?c=2,Sealed EU import reissue on 180gm vinyl for superfidelity.  Includes free MP3 download.  Cheesecake Records release 166801. See our listings for more Chet vinyl...,
NIna Simone Sings Ellington,"EU Import, 180 Gram Vinyl",$21.95,http://www.planetmusic33.com/nina-simone-sings-ellington-eu-import-180-gram-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12765/images/6103/nina_sings_ellington__25828.1414734362.285.365.jpg?c=2,2012 Waxtime label release on 180 gram vinyl. Like new condition throughout.  WaxTime release 771789. See our listings for other Nina vinyl...,
"Reflections in Blue/Hours After,  Sun Ra",2010 Sealed Double Vinyl LP,$28.00,http://www.planetmusic33.com/reflections-in-blue-hours-after-sun-ra-2010-sealed-double-vinyl-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12749/images/6059/reflections_in_blue_sun_ra__91851.1413692756.285.365.jpg?c=2,Sealed 2010 Italian import vinyl with two classic LPs (see tracks below). See our listings for more Sun Ra classics....,"State Street Chicago, Nothin' From Nothin', Yesterdays, Say It Isn't So, I Dream Too Much, Reflections In Blue, But Not For Me, Hours After, Beautiful Love, Dance Of The Extra Terrestrians, Love On A Far Away Planet"
Pat Metheny Live w/B.B. King & Dave Brubeck,'88 German Import w/Mint Vinyl,$24.95,http://www.planetmusic33.com/pat-metheny-live-w-b-b-king-dave-brubeck-88-german-import-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12739/images/6042/pat_metheny_live__83892.1412998949.285.365.jpg?c=2,"'88 German import that features live tracks from Pat Metheny, Dave Brubeck and B.B. King. Track list below. Vinyl and LP cover are both like new. See our listings for more titles from Pat Metheny and B.B. King...","Introduction, Move To The Groove, Lover Man, Blue Rondo, Ol' Bill Basie, The Thrill Is Gone, Guess Who, Payin' The Cost To Be The Boss"
You Can't Make Love Alone by Eddie Cleanhead Vinson & Larry Coryell,Live '71 Recording w/Mint Vinyl -,$22.95,http://www.planetmusic33.com/you-cant-make-love-alone-by-eddie-cleanhead-vinson-larry-coryell-live-71-recording-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12738/images/6041/you_cant_make_love_along_cleanhead_vinson__52353.1412982279.285.365.jpg?c=2,Like new vinyl w/clean cover aside from small hole. 1971 Mega Records label release (M31-1012). 5-Star Seller Guarantees Satisfaction.,
Facets/The Legend of Leon Thomas, '73 White Label Promo w/Poster,$38.95,http://www.planetmusic33.com/facets-the-legend-of-leon-thomas-73-white-label-promo-w-poster/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12737/images/6040/legend_of_leon_thomas__02212.1412980861.285.365.jpg?c=2,Rare white label promo on Flying Dutchman label (FD 10164). Vinyl is near mint and LP cover (as pictured) has nearly no shelf wear aside from a very small notch cut that is nearly missed. Also includes the large fold-out poster. 5-Star Seller Guarantees Satisfaction. See our listings for other Leon Thomas titles...,
Escape from Television by Jan Hammer,Mint Vinyl,$19.95,http://www.planetmusic33.com/escape-from-television-by-jan-hammer-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12719/images/6085/jan_hammer__22897.1414088001.285.365.jpg?c=2,Vinyl looks nearly new and LP cover (as pictured) is frame-ready w/very minimum shelf wear. 5-Star Seller Guarantees Satisfaction.,
Black Sheep by Jan Hammer,White Label Promo w/Mint Vinyl,$22.00,http://www.planetmusic33.com/black-sheep-by-jan-hammer-white-label-promo-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12718/images/6086/black_sheep__58410.1414088062.285.365.jpg?c=2,Type a description for this product here...,
The Verve Years (1952-54) Charlie Parker,'77 Sealed Verve Release,$36.00,http://www.planetmusic33.com/the-verve-years-1952-54-charlie-parker-77-sealed-verve-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12689/images/6064/charlie_parker_verve_years__99135.1413827681.285.365.jpg?c=2,,"Temptation, Autumn In New York, Lover, Stella By Starlight, Begin The Beguine, Mama Inez, Estrellita, La Paloma, La Cucaracha, Night And Day, Almost Like Being In Love, I Can't Get Started, What Is This Thing Called Love, The Song Is You, Laird Baird, Kim, Cosmic Rays, In The Still Of The Night, Old Folks, If I Love Again, Chi Chi, I Remember You, Now's The Time, Confirmation, I Get A Kick Out Of You, Just One Of Those Things, My Heart Belongs To Daddy, I've Got You Under My Skin, Love For Sale, I Love Paris"
Shamal by Gong,"'75 Promo Release w/Mint Vinyl, Promo Text on Labels",$44.95,http://www.planetmusic33.com/shamal-by-gong-75-promo-release-w-mint-vinyl-promo-text-on-labels/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12671/images/5936/shamal_gong_label__45647.1411608919.285.365.jpg?c=2,'75 promo release on Virgin Records label (PZ 34156). Like new viny w/promo text on labels. Cover has timing strip w/minimum shelf wear and no holes/slices/seam splits.Back cover has gold promo stamp. See our listings for several other classic Gong titles...,
"Las Vegas Prima Style, Louis & Keely Smith",'58 Capitol Release w/Mint Vinyl,$39.95,http://www.planetmusic33.com/las-vegas-prima-style-louis-keely-smith-58-capitol-release-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12664/images/5929/las_vegas_style_prima__48622.1411588233.285.365.jpg?c=2,"Rare nearly new condition throughoutfor this '58 Capitol mono recording, including vinyl and LP cover (as pictured and frame-ready w/no shelf wear or cover damage). Includes original Capitol insert sleeve (a word about high fidelity). 5-Star Seller Guarantees Satisfaction. See our listings for many other rare Prima titles...",
The Wildest Comes Home! by Louis Prima,'62 Capitol Mono w/Mint Vinyl,$34.95,http://www.planetmusic33.com/the-wildest-comes-home-by-louis-prima-62-capitol-mono-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12663/images/5928/wildest_comes_home__38159.1411587407.285.365.jpg?c=2,"Rare new vinyl and frame-ready LP cover (very minimum shelf wear and no holes/slices/seam splits). This is Capitol release T 1723. Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other rare vinyl classics from Prima, Keely Smith and Sam Butera...",
End of the World JULIE LONDON,'63 Vinyl LP in Shrink-Wrap,$36.00,http://www.planetmusic33.com/end-of-the-world-julie-london-63-vinyl-lp-in-shrink-wrap/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12630/images/5872/end_of_the_world_julie__34553.1411409191.285.365.jpg?c=2,Shrink cover w/near mint vinyl. Cover is frame-ready w/no holes/slices. See our listings for 15+ other Julie titles (we like her too!)....,
"Giant Box, Don Sebesky",1973 Double Vinyl Box Set ,$26.95,http://www.planetmusic33.com/giant-box-don-sebesky-1973-double-vinyl-box-set/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12573/images/5807/don__71620.1410461601.285.365.jpg?c=2,"Near mint condition condition throughout for this CTI label two record vinyl box set. Vinyl is very clean with both original CTI insert sleeves (both like new w/no seam splits).  20-page booklet also like new and includes great b/w photos of Don and band mates George Benson, Paul Desmond, Bob Jame Milt Jackson, Airto, Freddie Hubbard and others.  Outer box container (as pictured) is clean aside from corner cut.  See our listings for many other rare vinyl box sets and other great jazz vinyl...",
LADY SINGS THE BLUES Billie Holiday,Sealed EU 180 gm Vinyl,$24.95,http://www.planetmusic33.com/lady-sings-the-blues-billie-holiday-sealed-eu-180-gm-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12572/images/5783/lady_sings_the_blues__41545.1410200420.285.365.jpg?c=2,sEALED 2015 EU import on 180 gram vinyl.  This is a limited edition release from Jazz Wax Records label. See our listings for other 180 gram reissues of jazz classics...,
Latin in a Satin Mood  JULIE LONDON ,Sealed 180 Gram EU Vinyl Reissue,$24.00,http://www.planetmusic33.com/latin-in-a-satin-mood-julie-london-sealed-180-gram-eu-vinyl-reissue/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12570/images/7646/julie_london_satin_in_latin_mood__47996.1465758174.285.365.jpg?c=2,Sealed EU import on 180 gram vinyl.  Limited edition release on WaxTime Records label. No holes or notch cuts. See our listings for many more Julie titles...,
Lonely Avenue by David Newman  w/Roy Ayers,'72 Atlantic Release,$19.95,http://www.planetmusic33.com/lonely-avenue-by-david-newman-w-roy-ayers-72-atlantic-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12569/images/5780/lonely_avenue_david_newman__72714.1410193922.285.365.jpg?c=2,1972 Atlantic label release SD 1600 w/near mint vinyl and frame-ready LP cover. See our listings for more classic jazz from Fathead Newman...,
The Brothers! Cohn Perkins Kamuca,Sealed EU 180 gm Import Reissue on WaxTime Label,$28.95,http://www.planetmusic33.com/the-brothers-cohn-perkins-kamuca-sealed-eu-180-gm-import-reissue-on-waxtime-label/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12567/images/5778/the_brothers_cohn_perkins__60206.1410191953.285.365.jpg?c=2,Sealed 180 gram EU import reissue.  See our listings for other 180 gram reissues of classic jazz titles...,
Art by Art Farmer,Sealed 180 gm EU Import Reissue on WaxTrain Label,$28.95,http://www.planetmusic33.com/art-by-art-farmer-sealed-180-gm-eu-import-reissue-on-waxtrain-label/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12566/images/5777/art_by_art_farmer__72372.1410191484.285.365.jpg?c=2,Brand New Sealed with 180 gm Hype Label. See our listings for other 180gm reissues of jazz classics...,
September of my years by Frank Sinatra,1965 Reprise Release w/Mint Vinyl,$24.95,http://www.planetmusic33.com/september-of-my-years-by-frank-sinatra-1965-reprise-release-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12563/images/5772/september_of_my_years__86123.1410078246.285.365.jpg?c=2,1965 Reprise release FS 1014 w/Frank's picture on label. Vinyl looks nearly new and LP cover is frame-ready w/nearly no visible shelf wear and no holes/slices/seam splits. See our listings for many more classic Sinatra titles...,
She Shot Me Down by Frank Sinatra,1981 Sealed Reprise Release,$28.95,http://www.planetmusic33.com/she-shot-me-down-by-frank-sinatra-1981-sealed-reprise-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12562/images/5771/she_shot_me_down_framk_sinatra__57339.1410077327.285.365.jpg?c=2,1981 sealed Reprise label release FS 2305. No shelf wear or cover damage. See our listings for many more Sinatra titles including others still sealed...,
"Coltrane's Sound, John Coltrane",New Vinyl LP w/MP3 Download  ,$26.99,http://www.planetmusic33.com/coltranes-sound-john-coltrane-new-vinyl-lp-w-mp3-download/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12541/images/5735/sound__53046.1409968429.285.365.jpg?c=2,New EU import reissue on 180 gram vinyl with free MP3 download of entire LP.  ,"The Night Has A Thousand Eyes, Central Park West, Liberia, Body And Soul, Equinox, Satellite"
Frank Sinatra's Greatest Hits Vol. 2,Shrink-wrapped 1972 Release,$24.95,http://www.planetmusic33.com/frank-sinatras-greatest-hits-vol-2-shrink-wrapped-1972-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12537/images/5727/vol_2__73384.1409967558.285.365.jpg?c=2,"Still in shrink-wrap. 1972 Reprise label release w/near mint vinyl. Frame-cover w/no holes/slices/seam splits. See our listings for two dozen other Frank titles (yes, we're fans too)....",
"TRILOGY, PAST & PRESENT Frank Sinatra",Triple Vinyl LP,$42.95,http://www.planetmusic33.com/trilogy-past-present-frank-sinatra-triple-vinyl-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12535/images/5724/trilogy_frank_sinatra__96993.1409965104.285.365.jpg?c=2,"Near mint condition throughout including vinyl, all three custom insert sleeves and another three thicker stock inserts that could serve as LP covers. There also is a two-side insert detailing orchestra credits (kudos to Frank on giving credit where due).  See our listings for another 2 dozen Frank titles (yes, we're fans too)....",
Come Swing with me! by Frank Sinatra,Early Mono Capitol Release w/Mint Vinyl,$34.95,http://www.planetmusic33.com/come-swing-with-me-by-frank-sinatra-early-mono-capitol-release-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12534/images/5723/come_swing_with_me__31135.1409964696.285.365.jpg?c=2,"Nearly new condition throughout for this original Capitol mono release (W1594), including vinyl and LP cover (frame-ready w/minimm shelf wear). 5-Star Seller Guarantees Satisfaction.",
swing easy by Frank Sinatra,Still in Shrink '60s Release w/Mint Vinyl,$26.95,http://www.planetmusic33.com/swing-easy-by-frank-sinatra-still-in-shrink-60s-release-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12532/images/5721/swing_easy__09501.1409962029.285.365.jpg?c=2,Still in shrink-wrap w/cover as pictured and frame-ready. Vinyl looks nearly new.  This is a '60s Capitol mono release and color-band label. 5-Star Seller Guarantees Satisfaction. ,
James Brown The Federal Years Part Two 2 LPs,,$85.98,http://www.planetmusic33.com/james-brown-the-federal-years-part-two-2-lps/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12504/images/5671/james_brown_part_two__03743.1409835886.285.365.jpg?c=2,Like new condition throughout. See our many other James Brown LPs. Ships in 24 hours. 5-Star Seller Guarantees Satisfaction.,
'Bout Love,Bill Withers (Vinyl),$41.98,http://www.planetmusic33.com/bout-love-bill-withers-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12501/images/5665/bout_love__88553.1409835161.285.365.jpg?c=2,Like new condition throughout. See our many other Bill Withers LPs. Ships in 24 hours. 5-Star Seller Guarantees Satisfaction.,
Julie by JULIE LONDON,1984 French Import on Liberty Label w/Mint Vinyl,$42.95,http://www.planetmusic33.com/julie-by-julie-london-1984-french-import-on-liberty-label-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12499/images/5662/julie_by_julie_london__23074.1409808790.285.365.jpg?c=2,1982 French import  on Liberty label (LRP 3096) with mint vinyl and frame-ready LP cover (frame-ready w/no shelf wear or cover damage). 5-Star Seller Guarantees Satisfaction. See our listings for more Julie vinyl...,
Julie London - Self Titled,'66 Sunset Mono Release w/Near Mint Vinyl,$28.95,http://www.planetmusic33.com/julie-london-self-titled-66-sunset-mono-release-w-near-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12497/images/5660/jule_london_sunset_cover__43795.1409807205.285.365.jpg?c=2,"1966 mono release on Sunset label (SUM-1104).  Vinyl is near mint and LP cover has very minimum shelf wear and no holes, slices or seam splits. 5-Star Seller Guarantees Satisfaction. See our listings for other Julie titles...",
Rendezvous by George Duke,1984 Epic Release w/Mint Vinyl,$21.95,http://www.planetmusic33.com/rendezvous-by-george-duke-1984-epic-release-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12474/images/5610/rendezvous_with_george_duke__83214.1409552284.285.365.jpg?c=2,Original 1984 Epic label release (FE39262)with nearly new vinyl and a frame-ready LP cover (no ring wear and no holes/slices/seam splits).Includes original custom insert sleeve w/lyrics. 5-Star Seller Guarantees Satisfaction.,
"I Love the Blues, She Heard My Cry [vinyl] by George Duke", Rare '75 Dutch Import,$24.95,http://www.planetmusic33.com/i-love-the-blues-she-heard-my-cry-vinyl-by-george-duke-rare-75-dutch-import/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12469/images/5607/i_love_the_blues_george_duke__94906.1409516460.285.365.jpg?c=2,"Rare Dutch import on MPS label (5C 065-99993) with nearly new vinyl and frame-ready LP cover (as pictured) w/no ring wear and no holes, slices or seam splits.  5-Star Seller Guarantees Satisfaction.  See our listings for other George Duke vinyl...",
Guardian of the Light by George Duke,'83 Epic Release,$24.95,http://www.planetmusic33.com/guardian-of-the-light-by-george-duke-83-epic-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12468/images/5606/guardian_of_the_light_george_duke__69197.1409516224.285.365.jpg?c=2,"Nearly new vinyl with original gate-fold cover (as pictured in VG condition w/some some shelf wear and no holes, slices or seam splits). Includes original custom insert sleeve w/lyrics. 5-Star Seller Guarantees Satisfaction.  See our listings for other rare GD vinyl...",
"Modern Sounds in Country & Western Music Vol. 2, Ray Charles-Shrink LP",,$29.95,http://www.planetmusic33.com/modern-sounds-in-country-western-music-vol-2-ray-charles-shrink-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12374/images/5421/ray_charles_modern_sounds_vol_two__60264.1406921242.285.365.jpg?c=2,"Rare still in shrink on ABC Records (ABCS-435).  Near mint and LP cover is frame-ready w/no ring wear and no holes/slices/seam splits. See our listings for other classic Ray titles on original vinyl, CDs and box sets...",
I'M ON YOUR CASE Sugarcane Harris,1974 BASF Release,$24.95,http://www.planetmusic33.com/im-on-your-case-sugarcane-harris-1974-basf-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12241/images/5161/sugarcane_harris_Im_on_your_case__91655.1404453844.285.365.jpg?c=2,Rare original MPS release (21912) with very clean vinyl.  LP cover is near mint w/minimum wear aside from a corner cut.  No ring wear and no seam splits. ,
Once More! Charlie Byrd's Bossa Nova,"1962 Riverside Release, Mint Vinyl",$26.00,http://www.planetmusic33.com/once-more-charlie-byrds-bossa-nova-1962-riverside-release-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12233/images/5140/charlie_byrds_bossa_nova_once_more__04021.1404244670.285.365.jpg?c=2,"1962 Riverside release w/black labels, RS 9454. Vinyl looks nearly new and LP cover has only minimum beginning shelf wear and no holes, slices or seam splits.  See our listings for other Byrd bossa nova titles...",
